timestamp,device,security_level,message
Mar 30 09:10:01,Router1,4,Login failed for user admin from 192.168.1.50
Mar 30 09:10:15,Router1,4,Login failed for user admin from 192.168.1.50
Mar 30 09:10:28,Router1,4,Login failed for user admin from 192.168.1.50
Mar 30 09:10:42,Router1,4,Login failed for user admin from 192.168.1.50
Mar 30 09:10:55,Router1,4,Login failed for user admin from 192.168.1.50
Mar 30 09:11:14,Router1,5,Login successful for user admin from 192.168.1.50
Mar 30 09:12:01,Firewall1,4,Denied tcp connection from 10.0.0.23 to 172.16.0.10 on port 21
Mar 30 09:12:05,Firewall1,4,Denied tcp connection from 10.0.0.23 to 172.16.0.10 on port 22
Mar 30 09:12:09,Firewall1,4,Denied tcp connection from 10.0.0.23 to 172.16.0.10 on port 23
Mar 30 09:12:13,Firewall1,4,Denied tcp connection from 10.0.0.23 to 172.16.0.10 on port 80
Mar 30 09:13:00,Switch1,3,Interface GigabitEthernet0/1 changed state to up
Mar 30 09:14:22,Router1,5,Configured from console by console
Mar 30 09:15:33,Firewall1,4,Denied udp packet from 10.0.0.45 to 172.16.0.11 on port 161
Mar 30 09:16:44,Router1,4,Login failed for user guest from 192.168.1.88
